commitSHA,JavaFile,oldFunctionSignature,newFunctionSignature
"72031d33cacf9d880261e491a5de6f0c1b2de78d",MPChartLib/src/main/java/com/github/mikephil/charting/listener/BarLineChartTouchListener.java,"private void performDrag(MotionEvent event)","private void performDrag(MotionEvent event, float distanceX, float distanceY)"
"e10628958f7ca17ab415e07f220dcaa44c7ad08e",MPChartLib/src/main/java/com/github/mikephil/charting/data/DataSet.java,"public T getEntryForXValue(float xValue, Rounding rounding)","public T getEntryForXValue(float xValue, float closestToY, Rounding rounding)"
"336dfb93e5c6cb681aa8c660de780617a90480be",MPChartLib/src/main/java/com/github/mikephil/charting/data/ChartData.java,"public void calcMinMax()","public void calcMinMax(float fromX, float toX)"
"2d4cf0d4b7306e72a63d849e1d2feb9af8edff01",MPChartExample/src/com/xxmassdeveloper/mpchartexample/custom/MyCustomXAxisValueFormatter.java,"public String getXValue(String original, int index, ViewPortHandler viewPortHandler)","public String getXValue(float xValue, float xRange, float xPosition, ViewPortHandler viewPortHandler)"
"2d4cf0d4b7306e72a63d849e1d2feb9af8edff01",MPChartLib/src/main/java/com/github/mikephil/charting/formatter/DefaultXAxisValueFormatter.java,"public String getXValue(String original, int index, ViewPortHandler viewPortHandler)","public String getXValue(float xValue, float xRange, float xPosition, ViewPortHandler viewPortHandler)"
"530ab11157799cdca486fc1ee94ab0f17e4358ff",MPChartLib/src/com/github/mikephil/charting/highlight/BarHighlighter.java,"protected SelectionDetail getSelectionDetail(float xVal, float y, int dataSetIndex)","protected SelectionDetail getSelectionDetail(float xVal, float x, float y, int dataSetIndex)"
"d2cc49b525eb69c506e7b46210f548b03828f76d",MPChartLib/src/com/github/mikephil/charting/renderer/YAxisRendererHorizontalBarChart.java,"public void computeAxis(float yMin, float yMax)","public void computeAxis(float yMin, float yMax, boolean inverted)"
"d2cc49b525eb69c506e7b46210f548b03828f76d",MPChartLib/src/com/github/mikephil/charting/renderer/YAxisRendererRadarChart.java,"public void computeAxis(float yMin, float yMax)","public void computeAxis(float yMin, float yMax, boolean inverted)"
"ebbea0651ba4f5bf1c1036a6299e98992d3dd441",MPChartLib/src/com/github/mikephil/charting/renderer/RadarChartRenderer.java,"protected void drawDataSet(Canvas c, IRadarDataSet dataSet)","protected void drawDataSet(Canvas c, IRadarDataSet dataSet, int mostEntries)"
"c979bdb5356628d0b058ccd3337f9f5a37a49586",MPChartLib/src/com/github/mikephil/charting/renderer/HorizontalBarChartRenderer.java,"protected void drawValue(Canvas c, String valueText, float x, float y)","protected void drawValue(Canvas c, String valueText, float x, float y, int color)"
"31de4f2a2905ba4f9a211095799e3fa65376778d",MPChartLib/src/com/github/mikephil/charting/renderer/DataRenderer.java,"public void drawValue(Canvas c, ValueFormatter formatter, float value, Entry entry, int dataSetIndex, float x, float y)","public void drawValue(Canvas c, ValueFormatter formatter, float value, Entry entry, int dataSetIndex, float x, float y, int color)"
"a877526ab6b7b1faf741b95a31a9976453611a19",MPChartLib/src/com/github/mikephil/charting/data/DataSet.java,"public T getEntryForXIndex(int x)","public T getEntryForXIndex(int xIndex, Rounding rounding)"
"3fb8a54771edbd76773b88e8a88905fb87f5d3b7",MPChartLib/src/com/github/mikephil/charting/renderer/XAxisRenderer.java,"protected void drawLabels(Canvas c, float pos)","protected void drawLabels(Canvas c, float pos, PointF anchor)"
"3fb8a54771edbd76773b88e8a88905fb87f5d3b7",MPChartLib/src/com/github/mikephil/charting/renderer/XAxisRenderer.java,"protected void drawLabel(Canvas c, String label, int xIndex, float x, float y)","protected void drawLabel(Canvas c, String label, int xIndex, float x, float y, PointF anchor, float angleDegrees)"
"3fb8a54771edbd76773b88e8a88905fb87f5d3b7",MPChartLib/src/com/github/mikephil/charting/renderer/XAxisRendererBarChart.java,"protected void drawLabels(Canvas c, float pos)","protected void drawLabels(Canvas c, float pos, PointF anchor)"
"3fb8a54771edbd76773b88e8a88905fb87f5d3b7",MPChartLib/src/com/github/mikephil/charting/renderer/XAxisRendererHorizontalBarChart.java,"protected void drawLabels(Canvas c, float pos)","protected void drawLabels(Canvas c, float pos, PointF anchor)"
"f71f85f16bef24ccf7b4e9481b674d5d2436845e",MPChartLib/src/com/github/mikephil/charting/renderer/XAxisRenderer.java,"protected void drawLabels(Canvas c, float pos)","protected void drawLabels(Canvas c, float pos, PointF anchor)"
