commitSHA,JavaFile,oldFunctionSignature,newFunctionSignature
"0b2486f7f32fbe21c8630f330d240546a15beb66",okhttp-dnsoverhttps/src/main/java/okhttp3/dnsoverhttps/DnsOverHttps.java,"private Request buildRequest(ByteString query)","private Request buildRequest(String hostname, int type)"
"0b2486f7f32fbe21c8630f330d240546a15beb66",okhttp-dnsoverhttps/src/test/java/okhttp3/dnsoverhttps/DnsOverHttpsTest.java,"private DnsOverHttps buildLocalhost(OkHttpClient bootstrapClient)","private DnsOverHttps buildLocalhost(OkHttpClient bootstrapClient, boolean includeIPv6)"
"e7aed0e03d7489c884e4e4f57552673ef669fbc0",okhttp-tests/src/test/java/okhttp3/MediaTypeTest.java,"private void assertInvalid(String string)","private void assertInvalid(String string, String exceptionMessage)"
"36f4fd04f74323c137ca6ac1b464e9f5f04f33bf",okhttp-tests/src/test/java/okhttp3/MediaTypeTest.java,"private void assertInvalid(String string)","private void assertInvalid(String string, String exceptionMessage)"
"77471444ec81ad9452ebde7ca2b58db58a1f77d1",okhttp/src/main/java/okhttp3/internal/connection/StreamAllocation.java,"public void acquire(RealConnection connection)","public void acquire(RealConnection connection, boolean reportedAcquired)"
"9b0d19f913465483d0942558eb21e37868040050",okhttp/src/main/java/okhttp3/internal/connection/StreamAllocation.java,"public void streamFinished(boolean noNewStreams, HttpCodec codec)","public void streamFinished(boolean noNewStreams, HttpCodec codec, long bytesRead, IOException e)"
"87bf21311930d734507aaad25076c1302da828b4",okhttp/src/main/java/okhttp3/internal/connection/RealConnection.java,"public boolean isEligible(Address address)","public boolean isEligible(Address address, Route route)"
"81c7461c98f2228c3bb1a0c80fb803b5ea2e47f0",okhttp/src/main/java/okhttp3/internal/connection/RealConnection.java,"public boolean isEligible(Address address)","public boolean isEligible(Address address, Route route)"
"6133a9361b80a3a4a1add53d620ec0c21df04500",okhttp/src/main/java/okhttp3/internal/http/HttpEngine.java,"public HttpEngine recover(IOException e, boolean routeException)","public HttpEngine recover(IOException e, boolean routeException, Response userResponse)"
"6133a9361b80a3a4a1add53d620ec0c21df04500",okhttp/src/main/java/okhttp3/internal/http/HttpEngine.java,"public boolean sameConnection(HttpUrl followUp)","public boolean sameConnection(Response response, HttpUrl followUp)"
